major_name,median_earnings_1yr,median_earnings_5yr,median_growth,median_growth_pct,earnings_variation,school_count,earnings_rank,growth_rank,consistency_rank,low_earnings_flag,high_growth_flag
Accounting and Related Services.,53705,69429,18176,0.33396670659672023,19753,775,107,152,241,FALSE,FALSE
"Aerospace, Aeronautical and Astronautical Engineering.",73213,97915,23567,0.33001976842699804,6938,57,18,80,45,FALSE,FALSE
Agricultural Business and Management.,49371,62394,16740,0.36540386848744544,14629,71,143,175,194,FALSE,FALSE
Agricultural Engineering.,66338.5,85625,16568,0.24008167299664168,8355.5,19,51,177,69,FALSE,FALSE
Agricultural Mechanization.,55664,72288,18323,0.3328238415292958,5431,10,96,148,30,FALSE,FALSE
Agricultural Production Operations.,32996,49282,9514.5,0.2765498136882449,17193,13,229,253,220,TRUE,FALSE
Agricultural Public Services.,43324,53163,12528,0.28331642266995216,4538.5,8,194,231,23,FALSE,FALSE
Agricultural and Domestic Animal Services.,30953.5,34516,8417.5,0.2815694914954897,10732.5,7,287,259,114,TRUE,FALSE
Agricultural and Food Products Processing.,76052,71906,7804,0.10261400094672068,11950,2,98,263,154,FALSE,FALSE
"Agriculture, Agriculture Operations, and Related Sciences, Other.",45096,58737.5,15611,0.22414419449490008,12022,4,161,196,156,FALSE,FALSE
"Agriculture, General.",39145,52293,11804.5,0.30533639011802216,11518,37,200,239,141,FALSE,FALSE
Agriculture/Veterinary Preparatory Programs.,29598,69396,46049,1.5558145820663558,16404.5,7,108,4,215,FALSE,TRUE
Air Transportation.,43171,75280,31016,0.7785887302396737,9105,48,85,26,82,FALSE,TRUE
"Allied Health Diagnostic, Intervention, and Treatment Professions.",60999,61582,5473,0.07416184466866331,18914,222,148,274,236,FALSE,FALSE
Allied Health and Medical Assisting Services.,32919,73172.5,40905.5,1.3694125890007225,31052.5,12,93,5,267,FALSE,TRUE
Alternative and Complementary Medicine and Medical Systems.,33302,32686,-1306,-0.03366933924566243,3378,3,289,284,13,TRUE,FALSE
American Sign Language.,31969,45651,14789,0.43786824574389344,5902.75,8,255,208,34,TRUE,FALSE
